threshold,total_samples,local_count,local_percentage,rag_count,rag_invocation_percentage,attack_recall_percent,false_positive_rate_percent,emerging_model_false_negatives,emerging_attacks_routed_local,emerging_attacks_routed_rag,emerging_attack_escalation_rate_percent,emerging_high_confidence_attacks_local,emerging_attack_count,mean_confidence,dataset
0.6,20000,19920,99.6,80,0.4,98.90144218253761,0.5044136191677175,0,0,0,0.0,0,0,0.9912915964861372,KNOWN
0.65,20000,19883,99.41499999999999,117,0.585,98.90144218253761,0.5044136191677175,0,0,0,0.0,0,0,0.9912915964861372,KNOWN
0.7,20000,19764,98.82,236,1.18,98.90144218253761,0.5044136191677175,0,0,0,0.0,0,0,0.9912915964861372,KNOWN
0.75,20000,19713,98.565,287,1.435,98.90144218253761,0.5044136191677175,0,0,0,0.0,0,0,0.9912915964861372,KNOWN
0.8,20000,19669,98.345,331,1.6549999999999998,98.90144218253761,0.5044136191677175,0,0,0,0.0,0,0,0.9912915964861372,KNOWN
0.85,20000,19572,97.86,428,2.1399999999999997,98.90144218253761,0.5044136191677175,0,0,0,0.0,0,0,0.9912915964861372,KNOWN
0.9,20000,19465,97.32499999999999,535,2.675,98.90144218253761,0.5044136191677175,0,0,0,0.0,0,0,0.9912915964861372,KNOWN
0.6,20000,17429,87.145,2571,12.855,34.065,0.0,13187,6813,0,0.0,17429,20000,0.8113900210201549,EMERGING
0.65,20000,16175,80.875,3825,19.125,34.065,0.0,13187,6813,0,0.0,16175,20000,0.8113900210201549,EMERGING
0.7,20000,12301,61.504999999999995,7699,38.495000000000005,34.065,0.0,13187,6813,0,0.0,12301,20000,0.8113900210201549,EMERGING
0.75,20000,11352,56.76,8648,43.24,34.065,0.0,13187,6813,0,0.0,11352,20000,0.8113900210201549,EMERGING
0.8,20000,10608,53.04,9392,46.96,34.065,0.0,13187,6813,0,0.0,10608,20000,0.8113900210201549,EMERGING
0.85,20000,9699,48.495,10301,51.505,34.065,0.0,13187,6813,0,0.0,9699,20000,0.8113900210201549,EMERGING
0.9,20000,8243,41.215,11757,58.785,34.065,0.0,13187,6813,0,0.0,8243,20000,0.8113900210201549,EMERGING
0.6,40000,37349,93.3725,2651,6.6275,65.82753079807178,0.5044136191677175,13187,6813,0,0.0,17429,20000,0.9013408087531459,ALL
0.65,40000,36058,90.145,3942,9.855,65.82753079807178,0.5044136191677175,13187,6813,0,0.0,16175,20000,0.9013408087531459,ALL
0.7,40000,32065,80.16250000000001,7935,19.8375,65.82753079807178,0.5044136191677175,13187,6813,0,0.0,12301,20000,0.9013408087531459,ALL
0.75,40000,31065,77.6625,8935,22.3375,65.82753079807178,0.5044136191677175,13187,6813,0,0.0,11352,20000,0.9013408087531459,ALL
0.8,40000,30277,75.6925,9723,24.3075,65.82753079807178,0.5044136191677175,13187,6813,0,0.0,10608,20000,0.9013408087531459,ALL
0.85,40000,29271,73.1775,10729,26.822499999999998,65.82753079807178,0.5044136191677175,13187,6813,0,0.0,9699,20000,0.9013408087531459,ALL
0.9,40000,27708,69.27,12292,30.73,65.82753079807178,0.5044136191677175,13187,6813,0,0.0,8243,20000,0.9013408087531459,ALL
